Event, mu_E, mu_Px, mu_Py, mu_Pz, B1_E, B1_Px, B1_Py, B1_Pz, B2_E, B2_Px, B2_Py, B2_Pz, J1_E, J1_Px, J1_Py, J1_Pz, J2_E, J2_Px, J2_Py, J2_Pz, J3_E, J3_Px, J3_Py, J3_Pz
596, 95767.9, 3911.16, 52851.4, -79767.8, 69675.2, -19746.4, -58846.7, -29643.7, 96875.4, 26294.6, -10320.1, -92520.5, 173541, -150766, 41300.2, 74451, 83920.8, 46772.4, 22246.8, -65725.1, 84183.8, 12062.1, -33544.1, -75907.8
607, 62285.8, -40145.4, 27907.6, -38587.8, 134036, -111726, -68849.6, 25442.5, 209552, 48932.6, 86061.4, -184463, 148645, 2466.94, -57207.3, -136931, 87548, 48287.9, -16957.5, -70721.4, 159584, 16416, 28214.2, -156110
609, 80391.4, 47444, -31680.5, 56640.8, 211850, 61510.9, 65371.5, 191859, 45405.5, -11258.4, 40383.8, 16211, 224303, -12262.7, -82304.6, 207950, 80580.4, -78762.6, 9830.83, -10155, 70870.9, -40311.6, -38519.5, 43463.4
616, 79875.4, -12593.2, 31836.5, -72165.9, 209813, -51784.8, -133991, 151792, 46184.4, -38871.1, 23891, 2868.84, 120166, 67898.2, -33602.8, 92855.7, 56922.7, -26092.1, 47555.8, -15864.7, 71717.4, 20379.8, 31125, 60940.3
619, 81764.4, -68705.7, 993.668, 44316.5, 289074, -38182.9, 103370, 267055, 64401.9, 48434.9, -35650.5, -22674.6, 59939.4, 29028.2, 38952.9, -34576.2, 57871.5, 1766.53, -47540.7, -32316.5, 141653, -38316.9, -806.321, -136219
628, 104263, -53067.5, -2352.19, 89716.3, 121464, -37264.1, 78397.4, 83729, 137313, 41325.8, -31553.5, 126857, 350938, 19421.6, -70428.9, 343001, 33863.7, 33073.4, -2922.19, 5263.29, 38774.2, -27272.8, 7679.38, -26001.5
631, 43477.4, 20606.7, 21935.3, -31376.4, 72956.1, 26150.9, -13603.3, 66522.2, 90464.3, 22114.7, 16720.5, -85960.6, 1.08661e+06, 127907, 134813, 1.07054e+06, 594372, -145012, -44612.7, -574522, 65145.6, -4324.83, -45409.8, 45814.3
638, 99974.3, -52683.1, -62051.6, -58042.6, 129746, 48489.6, 119796, 7222.38, 91392.1, 5570.89, -68989.1, 59130.1, 67177.1, 64474.9, -15884.9, 1153.66, 83054.4, 13776.1, 41650.4, -69623.9, 27356.8, -23971.3, 7925.19, 8887.52
653, 109194, 42938.6, 80213.6, -60376.4, 146278, 95048.1, -110401, -4995.41, 210979, -89413.1, 67050.4, -178101, 53457, 45104.2, -13410.9, -24346.8, 50616, -41814.5, -18839.8, -20521.1, 115227, -24941.9, -13727.7, 111510
662, 73601.2, -10518.1, 53033.1, -49939.9, 217082, 104656, -122110, -145158, 93855, -46269.7, 19205.6, -78406.1, 77439.8, 43673, 32876.5, -54105.7, 113791, -44417.3, -31530.8, 99294.3, 33293.5, -18692, -24790.4, -9573.53
680, 33711.9, 18937, 20152.8, 19280.5, 194682, 173400, 7376.06, 87108, 188844, -79608.5, -45619.2, 164772, 98691.1, -79769.2, 5952.37, 57657.3, 31821.8, -10620.3, 28998, 4492.43, 173666, -24311.5, 14948.7, -171251
707, 38713.8, 34287.9, -1739.14, 17890.4, 105274, -88220.7, 25153.3, -50921, 48786.3, -37695.2, 18956.5, 23215.3, 140294, 113605, -20313.7, -76892.8, 84463.3, -16642, -48360, 66930, 34533, 23369, 10777.6, 22664.7
728, 169744, -43893.4, -148984, -68485.9, 212138, 62124.1, 21485.9, 201508, 31446.6, -28525.8, 8994.16, -8688.66, 101862, 19007.8, 57530.1, 81261.8, 155068, -44256.3, 36092, 143909, 209451, 13994.6, 42254.4, -204492
750, 139692, -48423.1, 25089.9, -128606, 262419, -28159.5, -111538, -235642, 95314.4, -9832.02, 90370.3, -26458.9, 744251, 125910, -65243.1, -730541, 51855.7, -43027.6, -3800.59, 28591.1, 39059.1, 33730.6, 17477.6, 5769.41
759, 99316.7, -49761.4, -56848.8, 64465.5, 250537, 12558.1, 203170, 143979, 162467, -10089.5, -152342, 52768.7, 378631, -39199.7, -79588.2, -367883, 242802, 27333.4, 83092.7, 226432, 268731, 43549.7, -20211.4, -264332
768, 44743.8, 43233.1, 9587.87, -6400.2, 100658, -74323.2, -15443.3, 65034, 97050.7, 7065.39, -40171.8, -87756.5, 251393, -40539.1, -49113.1, -243028, 64173.9, -24318.7, -31333.7, 50031.4, 35824.6, 21609, 21460.4, 17887.7
784, 255370, -99526.9, 95797.2, -214782, 54381.4, -39291.6, 23053.4, 29151.1, 57844.7, 29866.5, -5865.41, -48962.4, 232131, 74056.1, -11107.1, -219656, 51197.9, -6394.31, -50490.3, -2553.91, 32496.4, 21936.5, -22366.5, 8110.8
785, 68370.2, 49549.1, -12784.8, 45342.2, 145512, -59003.1, 8978.26, 132393, 89318.4, 44726, 7023.06, 76590.5, 130209, -57443.2, -27466.3, 113417, 47319.3, -37836.7, -21138.8, 18160.3, 143297, -7934.46, -26330, 140546
789, 67965.7, 8601.67, -44667.8, -50498.8, 89557.9, 10663.8, -82717.6, -30580.4, 130436, -55945, 56736.6, -103110, 65955.4, 51894.2, 36526.4, -14636.4, 91871.8, 54903.9, 22048.3, -69612.5, 30426, -25898.4, -1808.22, -15447.4
